real_price,predicted_price,mape_error,mse_error
0.1316,0.015003085,60.39666676520019,0.01359484055570642
0.1128,0.025036264,12.288281468569924,0.0077024733196520345
0.1199,0.010079955,118.69872978487975,0.012060442338528453
0.1311,0.0010853498,14349.775379891269,0.016903809260314966
0.1033,0.017608225,23.68356626693924,0.007343080243418488
0.1526,0.00018627117,669509.7629278629,0.023229944737343692
0.1095,0.011408106,73.93313271243575,0.009622019585342097
0.1095,0.010504868,88.80685489819557,0.009800036183152047
0.1139,0.0040533403,734.425213764135,0.01206628864868285
0.1038,0.017811118,23.3078525021155,0.007394087880272637
0.1213,0.0015343988,6092.390320808406,0.014343799240000734
0.1366,-3.0986844e-06,1943418880.6996288,0.018660406570172816
0.1332,0.000107606735,1529775.014361858,0.017713585145092456
0.1362,3.958049e-05,11834214.820383564,0.018539659841383907
0.13,2.8276312e-05,21127700.04986944,0.016892648958390724
0.1411,0.000120030534,1379530.6270410991,0.01987535179058843
0.1237,5.485413e-07,50853031651.83003,0.01530155429117769
0.1067,6.386923e-06,279057369.96039283,0.011383527071444811
0.0646,0.0022593501,761.3345976137431,0.003886356623849856
0.07,1.3527307e-06,2677667251.2743587,0.004899810619533014
0.0602,0.00215027,728.8102107493182,0.00336977116192761
0.0451,0.049975388,0.009517129505154315,2.3769405732898832e-05
0.0602,0.0030608217,348.49128750208337,0.003264885699470241
0.0555,0.008536398,30.267283014215277,0.0022055798742293795
0.0744,5.0048784e-06,220953242.0213224,0.005534615299142401
0.0767,1.893363e-06,1640973313.069193,0.005882599561701894
0.0715,3.8355283e-05,3471327.7858949434,0.005106766665612605
0.0732,6.6011644e-06,122942696.25771692,0.005357273633109163
0.0478,0.0027747047,263.31742267886074,0.0020272772156478317
0.0471,0.0027105634,268.1884921153216,0.0019704220849051926
0.0516,2.765732e-05,3477070.9849372664,0.0026597065295908854
0.0666,2.4866173e-05,7168135.492318024,0.0044322484441255625
0.0542,7.3318915e-05,544992.759563309,0.0029296976052357896
0.0577,1.5688982e-05,13518418.807484286,0.003327479737635728
0.0587,-5.0071753e-07,13743521102.864958,0.0034457487844891175
0.0241,0.08910612,0.5322227373960144,0.0042257956594476285
0.0165,0.097713225,0.6907912346612597,0.006595587848277303
0.0068,0.1450287,0.9084238708564946,0.01910717224971636
0.0063,0.30691823,0.959368063531922,0.09037132239264987
0.0008,0.25236112,0.9936699283975159,0.06328299648863114
0.0003,0.27548143,0.9978231807008179,0.07572482088978943
0.1099,0.04492938,2.0910919172811,0.004221181273476506
0.0893,0.073927656,0.04323807283281709,0.00023630896570895496
0.0974,0.056929242,0.505372818340336,0.0016378822639509796
0.1066,0.024229757,11.556931908993695,0.00678485685152294
0.0836,0.0629306,0.10787779446861846,0.0004272241436921575
0.1232,0.0018073366,4511.352924743331,0.014736178732425512
0.0866,0.057938725,0.24471081054800334,0.0008214686985985213
0.0866,0.05794041,0.24466783677670526,0.0008213721799339799
0.091,0.045942955,0.9618061994419451,0.002030137329448081
0.0825,0.06594583,0.06301448276706936,0.00027404066123314785
0.0954,0.025951026,7.161806818880427,0.004823159988606347
0.1094,0.0021386188,2515.474914711942,0.011505003887172514
0.1035,0.0029122622,1192.9689187938097,0.010117892991336265
0.1075,0.00087633624,14803.542579044497,0.011368605673163628
0.0999,0.0004470101,49499.52380765742,0.009890897200534925
0.1085,0.00010150684,1140396.4732353683,0.011750233319137493
0.0893,0.00010809896,680781.5947824442,0.007955195211043247
0.0743,0.0006005831,15058.506364250108,0.005431604052190383
0.0422,0.044964932,0.0037811246945022537,7.644848440777899e-06
0.0456,0.032969225,0.14677175999470748,0.00015953647209806843
0.0383,0.044967286,0.021983905526672454,4.445270645599707e-05
0.0291,0.17721061,0.6985426125068361,0.021936754004694286
0.0383,0.065200225,0.17022119188336474,0.0007236220791605542
0.0338,0.0569745,0.1654473097823781,0.0005370574696104111
0.0456,0.013987865,5.107457537966897,0.000999327060355026
0.0502,0.0040826066,127.60110323620968,0.002126813970347439
0.0445,0.013975466,4.770517782124154,0.000931747196049429
0.0437,0.0059858407,39.69707925275795,0.0014223578125060034
0.0262,0.047978967,0.20605007479855916,0.0004743234222389187
0.0262,0.07215992,0.4056639982838776,0.002112314578519362
0.0286,0.04794751,0.16282386954684916,0.00037432618487182013
0.0375,0.011985046,4.532211663004448,0.0006510128848822671
0.0295,0.027982786,0.0029397581350067725,2.301937418149019e-06
0.0317,0.024982877,0.07229057678259479,4.511974038053072e-05
0.0316,0.021984473,0.1912996085441094,9.245836197186737e-05
0.0122,0.5829233,0.9585800284209787,0.325725077302556
0.0064,0.26968482,0.953100367543161,0.06931889716239199
0.0024,0.18588614,0.9743444391748942,0.03366716527413963
0.0012,0.38637704,0.9937980965646914,0.14836134950200475
0.0003,0.9325211,0.9993566864231351,0.8690361882580657
0.0002,0.27079704,0.9985234244734117,0.07322276024252145
0.0892,0.093923576,0.0025292549391639665,2.2312171892048046e-05
0.0741,0.16592012,0.3062510739498014,0.008430935071825582
0.079,0.14273101,0.1993723515413693,0.004061641752101125
0.086,0.072927296,0.032132951656597825,0.00017089558564516852
0.0668,0.14692484,0.2974020035225009,0.00641998973242867
0.0983,0.02729003,6.7706545561683855,0.005042415917334196
0.0684,0.14287606,0.2717155221057605,0.005546683336899806
0.0684,0.1421901,0.2693130953481918,0.005444978675381305
0.0716,0.09494188,0.06044437909094055,0.000544843213884825
0.0646,0.1535083,0.3354446818305956,0.007904686795704871
0.0755,0.07494759,5.432636610446993e-05,3.0515885673483564e-07
0.0862,0.034950074,2.150256623302344,0.002626554934641206
0.0792,0.037949834,1.1814943230917818,0.0017015761934645304
0.0821,0.02594879,4.682566729425765,0.003152958290876431
0.0749,0.0329524,1.620466474632097,0.001759600995835705
0.079,0.005704652,165.08001551744496,0.005372208030763754
0.0608,0.013151705,13.125945289983784,0.0022703599911491246
0.0495,0.03196241,0.30106538040552644,0.0003075670764939225
